OID_,x,y
1,-79.6700974,35.1880913
2,-79.6705017,35.1881561
3,-79.6705017,35.1881332
4,-79.6701050,35.1880684
5,-79.6701050,35.1880493
6,-79.6705093,35.1881104
7,-79.6705170,35.1880913
8,-79.6701126,35.1880264
9,-79.6701202,35.1880035
10,-79.6705170,35.1880684
11,-79.6705246,35.1880493
12,-79.6701279,35.1879807
13,-79.6701279,35.1879616
14,-79.6705246,35.1880264
15,-79.6705322,35.1880074
16,-79.6701355,35.1879387
17,-79.6701355,35.1879272
18,-79.6705399,35.1879921
